Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2011/12/31, 17:00:00, 12150, 12150, 12150, 12150, 2, 2, 0, 2
2012/1/1, 17:00:00, 12150, 12150, 12150, 12150, 2, 2, 0, 2
2012/1/2, 17:00:00, 12150, 12415, 12150, 12346, 91249, 68426, 45781, 45468
2012/1/3, 17:00:00, 12343, 12366, 12273, 12353, 77408, 59646, 38110, 39298
2012/1/4, 17:00:00, 12357, 12373, 12219, 12328, 108614, 83857, 54727, 53887
2012/1/5, 17:00:00, 12330, 12408, 12272, 12311, 95746, 73718, 48246, 47500
2012/1/7, 17:00:00, 12311, 12311, 12311, 12311, 2, 2, 0, 2
2012/1/8, 17:00:00, 12312, 12352, 12252, 12328, 88605, 69194, 44405, 44200
2012/1/9, 17:00:00, 12333, 12463, 12331, 12382, 90670, 69432, 45217, 45453
2012/1/10, 17:00:00, 12382, 12409, 12338, 12389, 89492, 70955, 44651, 44841
2012/1/11, 17:00:00, 12391, 12465, 12323, 12409, 95799, 73109, 47447, 48352
2012/1/12, 17:00:00, 12413, 12440, 12248, 12391, 112430, 85456, 55462, 56968
2012/1/14, 17:00:00, 12391, 12391, 12391, 12391, 8, 2, 0, 8
2012/1/15, 17:00:00, 12350, 12419, 12327, 12411, 11148, 8358, 5486, 5662
2012/1/16, 17:00:00, 12406, 12514, 12389, 12432, 89834, 69695, 45931, 43903
2012/1/17, 17:00:00, 12423, 12529, 12397, 12511, 99497, 74136, 49511, 49986
2012/1/18, 17:00:00, 12511, 12596, 12486, 12588, 84320, 60693, 41636, 42684
2012/1/19, 17:00:00, 12588, 12668, 12553, 12659, 73932, 53343, 36900, 37032
2012/1/21, 17:00:00, 12659, 12659, 12659, 12659, 4, 2, 0, 4
2012/1/22, 17:00:00, 12633, 12709, 12611, 12641, 82752, 60426, 40710, 42042
2012/1/23, 17:00:00, 12642, 12670, 12561, 12647, 80565, 61384, 41633, 38932
2012/1/24, 17:00:00, 12653, 12725, 12522, 12692, 108773, 81175, 53588, 55185
2012/1/25, 17:00:00, 12697, 12786, 12639, 12691, 97563, 73513, 46871, 50692
2012/1/26, 17:00:00, 12687, 12720, 12576, 12611, 96807, 74772, 49085, 47722
2012/1/28, 17:00:00, 12611, 12611, 12611, 12611, 2, 2, 0, 2
2012/1/29, 17:00:00, 12625, 12639, 12476, 12601, 99526, 75180, 51730, 47796
2012/1/30, 17:00:00, 12604, 12683, 12511, 12569, 97410, 72981, 48191, 49219
2012/1/31, 17:00:00, 12576, 12735, 12550, 12661, 100852, 72940, 51871, 48981
2012/2/1, 17:00:00, 12662, 12701, 12622, 12667, 80250, 59795, 39629, 40621
2012/2/2, 17:00:00, 12666, 12833, 12645, 12797, 86703, 60268, 44224, 42479
2012/2/4, 17:00:00, 12797, 12797, 12797, 12797, 4, 4, 0, 4
2012/2/5, 17:00:00, 12780, 12794, 12722, 12789, 71251, 51344, 35595, 35656
2012/2/6, 17:00:00, 12787, 12851, 12729, 12829, 83070, 58311, 40803, 42267
2012/2/7, 17:00:00, 12825, 12870, 12776, 12831, 78397, 57021, 38902, 39495
2012/2/8, 17:00:00, 12814, 12894, 12789, 12840, 103584, 71312, 51974, 51610
2012/2/9, 17:00:00, 12836, 12837, 12704, 12766, 93179, 68750, 46979, 46200
2012/2/11, 17:00:00, 12766, 12766, 12766, 12766, 4, 4, 0, 4
2012/2/12, 17:00:00, 12821, 12866, 12783, 12834, 88348, 63955, 44583, 43765
2012/2/13, 17:00:00, 12832, 12857, 12751, 12838, 105711, 78428, 52561, 53150
2012/2/14, 17:00:00, 12839, 12931, 12729, 12739, 146554, 111715, 73811, 72743
2012/2/15, 17:00:00, 12743, 12893, 12700, 12869, 136060, 99345, 68911, 67149
2012/2/16, 17:00:00, 12873, 12945, 12860, 12931, 80097, 60023, 38721, 41376
2012/2/18, 17:00:00, 12931, 12931, 12931, 12931, 4, 4, 0, 4
2012/2/19, 17:00:00, 12993, 13009, 12958, 13001, 12941, 8605, 6308, 6633
2012/2/20, 17:00:00, 12999, 13008, 12901, 12945, 98986, 74924, 49902, 49084
2012/2/21, 17:00:00, 12944, 12977, 12891, 12921, 95329, 73961, 48394, 46935
2012/2/22, 17:00:00, 12915, 12980, 12859, 12971, 128992, 94820, 64830, 64162
2012/2/23, 17:00:00, 12981, 13015, 12928, 12959, 82093, 62634, 40219, 41874
2012/2/25, 17:00:00, 12959, 12959, 12959, 12959, 12, 4, 0, 12
2012/2/26, 17:00:00, 12959, 13009, 12861, 12970, 129498, 95656, 65270, 64228
2012/2/27, 17:00:00, 12966, 13023, 12938, 12988, 104995, 77888, 52552, 52443
2012/2/28, 17:00:00, 12991, 13042, 12895, 12903, 145841, 109475, 72122, 73719
2012/2/29, 17:00:00, 12895, 13025, 12895, 12980, 126555, 93396, 64145, 62410
2012/3/1, 17:00:00, 12985, 12994, 12912, 12968, 87639, 67363, 43964, 43675
2012/3/3, 17:00:00, 12968, 12968, 12968, 12968, 4, 4, 0, 4
2012/3/4, 17:00:00, 12960, 12975, 12867, 12951, 109084, 78385, 53799, 55285
2012/3/5, 17:00:00, 12953, 12973, 12721, 12747, 158443, 111549, 79922, 78521
2012/3/6, 17:00:00, 12744, 12849, 12744, 12831, 119871, 76196, 62124, 57747
2012/3/7, 17:00:00, 12835, 12949, 12823, 12904, 87846, 50150, 45096, 42750
2012/3/8, 17:00:00, 12839, 12905, 12795, 12856, 81369, 45723, 41521, 39848
2012/3/10, 17:00:00, 12856, 12856, 12856, 12856, 4, 4, 0, 4
2012/3/11, 17:00:00, 12859, 12904, 12813, 12898, 106931, 51645, 53306, 53625
2012/3/12, 17:00:00, 12906, 13136, 12900, 13127, 144046, 90459, 71132, 72914
2012/3/13, 17:00:00, 13117, 13154, 13087, 13114, 114201, 74814, 58592, 55609
2012/3/14, 17:00:00, 13099, 13188, 13099, 13166, 111002, 69633, 56818, 54184
2012/3/15, 17:00:00, 13169, 13224, 13157, 13162, 72786, 53169, 36291, 36495
2012/3/17, 17:00:00, 13162, 13162, 13162, 13162, 4, 4, 0, 4
2012/3/18, 17:00:00, 13163, 13208, 13123, 13170, 97894, 68817, 48647, 49247
2012/3/19, 17:00:00, 13170, 13176, 13052, 13114, 105236, 73712, 52392, 52844
2012/3/20, 17:00:00, 13109, 13160, 13042, 13063, 100616, 71140, 50756, 49860
2012/3/21, 17:00:00, 13066, 13091, 12948, 13002, 117493, 85153, 59943, 57550
